web_scraper_order,web_scraper_start_url,name,data,data2,data3,title,data4,data5,data6,data7,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11
"1785468000-1","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Sandeeshwara Perera","FL (Film Look) | Default Settings","Shot with Creative Looks

External lighting used during production and brightness adjusted in post","Sri Lanka","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4992-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC5082-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC5312-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4923-683x1024.jpg","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4992-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC5082-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC5312-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4923-683x1024.jpg","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/Sandy_500x500-300x300-1.jpg"
"1785468000-2","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Raoul Rutnam","FL (Film Look) | Contrast +5, Highlights -9, Shadows +3, Fade +3, Saturation +3, Sharpness +4, Sharpness Range +5, Clarity +4, WB Colour Temp AWB","","Sri Lanka","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK1_RAR09282-Raoul-Rutnam_First-1-1024x683.jpg","","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK1_RAR09282-Raoul-Rutnam_First-1-1024x683.jpg","","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/Raoul-Rutnam_Profile-Photo_500x500.jpg"
"1785468000-3","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Arantha Sirimanne","FL (Film Look) | Contrast +3, Highlights -3, Shadows +1, Fade +1, Saturation -2, Sharpness 2, Sharpness Range +3, Clarity +3, WB Cloudy A1.5, M0.5","","Sri Lanka","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/Arantha-2-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/Arantha-3-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/Arantha-1-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/Arantha-2-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/Arantha-3-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/Arantha-1-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/Arantha_Profile-Photo-1.jpg"
"1785468000-4","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Sandeeshwara Perera","BW (Black & White) | Default Settings","Shot with Creative Looks

External lighting used during production and brightness adjusted in post","Sri Lanka","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4551-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4492-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4346-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4345-683x1024.jpg","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4551-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4492-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4346-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/10/DSC4345-683x1024.jpg","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK_Sandeeshwara-Perera_Profile-photo_500x500.jpg"
"1785468000-5","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Ravi Ranasinghe","VV2 (Vivid2) | Contrast 0, Highlights 0, Shadows 0, Fade 0, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +8, WB AWB



Shot with Creative Looks

Crop & RGB adjusted in post.","","Sri Lanka","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2-00000438-1-2-1024x683.webp","","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2-00000438-1-2-1024x683.webp","","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK_Ravi-Ranasinghe_Profile-photo_500x500.jpg"
"1785468000-6","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Ravi Ranasinghe","VV2 (Vivid2) | Contrast 0, Highlights 0, Shadows 0, Fade 0, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +8, WB AWB","Shot with Creative Looks

Crop & RGB adjusted in post.","Sri Lanka","Featured Look","Shot with Creative Looks","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC05150-CROP-and-RGB-colour-adjust-VV2-1024x941.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC03074-CROP-and-RGB-colour-adjust-VV2-1024x750.jpg","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC05150-CROP-and-RGB-colour-adjust-VV2-1024x941.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC03074-CROP-and-RGB-colour-adjust-VV2-1024x750.jpg","","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/LK_Ravi-Ranasinghe_Profile-photo_500x500.jpg"
"1785468000-7","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Sony Asia","VV2 (Vivid2) | Contrast -3, Highlights 0, Shadows +2, Fade +4, Saturation 0, Sharpness +4, Sharpness Range +3, Clarity +1, WB Colour Temp 5600K","","Asia Pacific","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2_SEL2450G_DSC00638_compressed-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2_SEL2450G_DSC01054_compressed-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2_SEL2450G_DSC00401_compressed-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2_SEL2450G_DSC00638_compressed-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2_SEL2450G_DSC01054_compressed-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/VV2_SEL2450G_DSC00401_compressed-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/Sony-Asia_Profile-Photo.jpg"
"1785468000-8","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Jonpoon.jpg","VV2 (Vivid 2) | Contrast +1, Highlights +1, Shadows +2, Fade 1, Saturation 0, Sharpness 4, Sharpness Range 4, Clarity 8, WB AWB A1 G1","","Singapore","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0967-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0924-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0918-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0967-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0924-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0918-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/jonpoon.jpg_Profile-photo_500x500.jpg"
"1785468000-9","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Jonpoon.jpg","VV2 (Vivid 2 Preset) | Contrast +1, Highlights +1, Shadows +2, Fade 1, Saturation 0, Sharpness 4, Sharpness Range 4, Clarity 8, WB AWB A1 G1","","Singapore","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0982-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0984-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0978-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0927-683x1024.jpg","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0982-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0984-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0978-1024x683.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/IMG_0927-683x1024.jpg","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/jonpoon.jpg_Profile-photo_500x500.jpg"
"1785468000-10","https://www.sony-asia.com/microsite/rmdc/creativelooks/alpha-recipes/","Jonpoon.jpg","VV2 (Vivid2) | Contrast +2, Highlights +4, Shadows +2, Fade 0, Saturation +2, Sharpness +4, Sharpness Range +3, Clarity +8, WB Daylight","","Singapore","Featured Look","","‹","›","×","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01241-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01237-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01236-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01241-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01237-683x1024.jpg","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/DSC01236-683x1024.jpg","","","https://www.sony-asia.com/microsite/rmdc/creativelooks/wp-content/uploads/2025/09/jonpoon.jpg_Profile-photo_500x500.jpg"
